Number,Disp,sigmaZ
[-],[mm],[MPa]
1,0.0,0.25748797565525661
2,0.0123,0.51668683486968436
3,0.021100000000000001,0.76904215984742763
4,0.027900000000000001,1.0299519026210264
5,0.0482,2.0470721785482695
6,0.062899999999999998,3.0838676154059805
7,0.074999999999999997,4.1146749598065933
8,0.084999999999999992,5.1249517014971513
9,0.094,6.1489155116610794
10,0.1023,7.1814337396208634
11,0.11,8.2199400600377448
12,0.11720000000000001,9.2439038702016738
13,0.12350000000000001,10.269578563924771
14,0.12019999999999999,9.2439038702016738
15,0.1166,8.2173737346989881
16,0.1114,7.1985425752125742
17,0.1056,6.1608916965752769
18,0.098900000000000002,5.134361561072593
19,0.090899999999999995,4.1172412851453499
20,0.081699999999999995,3.0847230571855668
21,0.069999999999999993,2.0513493874461974
22,0.054999999999999993,1.029096460841441
23,0.049700000000000001,0.78615099543913902
24,0.043999999999999997,0.52010860198802678
25,0.0361,0.26518695167152678
