Number,P_fluid,sigmaZ
[-],[kPa],[MPa]
1,114.42607101399999,0.25663253387567109
2,144.76300308999996,0.52096404376761218
3,165.44727495999999,0.78016290298204005
4,180.61574099799995,1.0239638101639277
5,270.24758576799996,2.0556265963441254
6,390.21636261399993,3.0744577558305397
7,541.90102299399996,4.1112531926882507
8,758.3964019,5.1873989514068981
9,973.51282934799985,6.1660243472527902
10,1275.5031986499998,7.1694575547066641
11,1647.8200923099996,8.2242172689356714
12,2147.0005201059998,9.2353494524058171
13,2505.5278991859996,10.273855772822699
14,2487.6015302320002,9.244759311981257
15,2384.1801708819999,8.2028312244460331
16,2290.4114717379998,7.1788674142821058
17,2193.8848696779996,6.1480600698814944
18,2265.5903454939998,5.1369278864113497
19,2003.5895684739996,4.1086868673494941
20,1685.0517816759998,3.0804458482876385
21,1191.3871597119999,2.0470721785482695
22,590.16432402399994,1.0256746937230987
23,452.26917822399992,0.77075304340659878
24,321.26878971399998,0.51583139309009896
25,199.92106140999996,0.26775327701028351
