vd2-1
ethz_vd2_hm1_mechData;54.000;140.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg;L- Deform.
;;;;kN;mm;mm
55;103;100;20:14:36:353;3.01;0.0;0.0107
90;100;5000;20:17:00:953;6.04;0.0;0.0230
121;100;5000;20:19:13:853;8.99;0.0;0.0318
145;100;5000;20:20:53:453;12.04;0.0;0.0386
176;100;5000;20:21:47:953;23.93;0.0;0.0589
204;100;5000;20:22:50:253;36.05;0.0;0.0736
245;100;5000;20:25:23:253;48.10;0.0;0.0857
282;100;5000;20:27:27:653;59.91;0.0;0.0957
312;100;5000;20:28:55:153;71.88;0.0;0.1047
343;103;100;20:30:35:553;83.95;0.0;0.1130
396;100;100;20:34:18:853;96.09;0.0;0.1207
484;100;5000;20:41:54:353;108.06;0.0;0.1279
551;103;100;20:47:15:153;120.05;0.0;0.1342
574;103;100;20:48:33:953;108.06;0.0;0.1309
591;103;100;20:49:04:153;96.06;0.0;0.1273
616;100;5000;20:50:15:653;84.15;0.0;0.1221
638;100;5000;20:50:57:053;72.02;0.0;0.1163
659;100;5000;20:51:38:653;60.02;0.0;0.1096
680;100;5000;20:52:27:453;48.13;0.0;0.1016
704;103;100;20:53:17:153;36.06;0.0;0.0924
732;103;100;20:54:24:653;23.98;0.0;0.0807
759;100;5000;20:55:17:453;12.03;0.0;0.0657
778;100;5000;20:56:30:153;9.19;0.0;0.0604
793;100;5000;20:57:10:053;6.08;0.0;0.0547
815;103;100;20:58:39:953;3.10;0.0;0.0468

dummy
dummy;54.000;140.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg;L- Deform.
;;;;kN;mm;mm
