ethz_vd3_flow1;54.000;140.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg;L- Deform.
;;;;kN;mm;mm
83;100;5000;14:05:05:728;3.00;1.41;0.0269
106;100;100;14:05:58:728;6.09;1.64;0.0414
122;100;5000;14:06:46:328;9.12;1.70;0.0496
141;100;5000;14:07:51:028;11.97;1.72;0.0553
171;100;5000;14:08:53:228;24.03;1.83;0.0726
201;100;5000;14:10:03:828;35.94;1.91;0.0862
230;100;5000;14:11:19:628;48.06;1.99;0.0979
265;100;100;14:13:09:828;60.64;2.07;0.1085
290;100;5000;14:14:23:228;72.08;2.11;0.1170
323;100;5000;14:16:06:828;83.81;2.17;0.1253
370;100;5000;14:19:18:428;96.14;2.22;0.1331
433;100;5000;14:24:15:828;107.96;2.26;0.1394
482;100;5000;14:27:52:228;120.10;2.29;0.1458
516;100;5000;14:30:17:828;108.07;2.28;0.1437
544;100;100;14:31:50:328;95.89;2.25;0.1393
570;100;5000;14:33:07:428;83.92;2.20;0.1339
600;100;5000;14:34:45:028;71.87;2.13;0.1277
651;100;5000;14:38:19:828;60.05;2.07;0.1208
674;100;5000;14:39:10:128;48.03;1.98;0.1129
708;100;5000;14:40:52:628;36.01;1.90;0.1030
740;103;100;14:42:22:428;23.93;1.81;0.0913
768;100;5000;14:43:14:428;11.99;1.70;0.0759
789;103;100;14:44:36:728;9.01;1.68;0.0706
820;103;100;14:46:55:328;6.03;1.64;0.0639
875;103;100;14:51:14:328;3.13;1.55;0.0529

dummy
dummy;54.000;140.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg;L- Deform.
;;;;kN;mm;mm
